hexOpcode,decOpcode,mnemonic,maxCycles,minCycles
9a,154,xor-ac,5,5
9b,155,xor-xh,5,5
9c,156,xor-yl,5,5
9d,157,xor-yh,5,5
9e,158,xor-zl,5,5
9f,159,xor-zh,5,5
a0,160,xori-[byte],7,7
a1,161,nor-ac,5,5
a2,162,nor-xh,5,5
a3,163,nor-yl,5,5
a4,164,nor-yh,5,5
a5,165,nor-zl,5,5
a6,166,nor-zh,5,5
a7,167,nori-[byte],7,7
a8,168,adc-ac,5,5
a9,169,adc-xh,5,5
aa,170,adc-yl,5,5
ab,171,adc-yh,5,5
ac,172,adc-zl,5,5
ad,173,adc-zh,5,5
ae,174,adci-[byte],7,7
af,175,sbb-ac,5,5
b0,176,sbb-xh,5,5
b1,177,sbb-yl,5,5
b2,178,sbb-yh,5,5
b3,179,sbb-zl,5,5
b4,180,sbb-zh,5,5
b5,181,sbbi-[byte],7,7
b6,182,inc-ac,5,5
b7,183,inc-xh,5,5
b8,184,inc-yl,5,5
b9,185,inc-yh,5,5
ba,186,inc-zl,5,5
bb,187,inc-zh,5,5
bc,188,dec-ac,5,5
bd,189,dec-xh,5,5
be,190,dec-yl,5,5
bf,191,dec-yh,5,5
c0,192,dec-zl,5,5
c1,193,dec-zh,5,5
c2,194,icc-ac,5,5
c3,195,icc-xh,5,5
c4,196,icc-yl,5,5
c5,197,icc-yh,5,5
c6,198,icc-zl,5,5
c7,199,icc-zh,5,5
c8,200,dcb-ac,5,5
c9,201,dcb-xh,5,5
ca,202,dcb-yl,5,5
cb,203,dcb-yh,5,5
cc,204,dcb-zl,5,5
cd,205,dcb-zh,5,5
ce,206,not-ac,5,5
cf,207,not-xh,5,5
d0,208,not-yl,5,5
d1,209,not-yh,5,5
d2,210,not-zl,5,5
d3,211,not-zh,5,5
d4,212,cmp-ac,5,5
d5,213,cmp-xh,5,5
d6,214,cmp-yl,5,5
d7,215,cmp-yh,5,5
d8,216,cmp-zl,5,5
d9,217,cmp-zh,5,5
da,218,cmpi-[byte],7,7
db,219,shl,4,4
dc,220,shr,4,4
dd,221,hlt,1,1
